affected_route,destination,route_short_name,dst_stop_lat,dst_stop_lon
63,LEGGET/TERRY FOX,63,45.34484,-75.930629
10 Hurdman,HURDMAN,10,45.412144,-75.665557
10 Hurdman,HURDMAN,10,45.412144,-75.665557
10 Lyon,LYON,10,45.418736,-75.705047
10 Lyon,LYON,10,45.418736,-75.705047
10 Lyon,LYON,10,45.418736,-75.705047
11 Bayshore,BAYSHORE,11,45.345674,-75.809959
11 Bayshore,BAYSHORE,11,45.345674,-75.809959
11 Bayshore,BAYSHORE,11,45.345674,-75.809959
11 Lincoln Fields,LINCOLN FIELDS,11,45.36574,-75.782399
11 Parliament,ELGIN / QUEEN,11,45.423273,-75.695339
11 Parliament,ELGIN/SPARKS,11,45.423273,-75.695339
11 Parliament,ELGIN/SPARKS,11,45.423273,-75.695339
11 Parliament,TUNNEY'S PASTURE,11,45.40388,-75.736653
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline,BILLINGS BRIDGE,111,45.384693,-75.677204
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline 2B,BASELINE,111,45.347752,-75.761936
111 Baseline,BASELINE,111,45.374005,-75.708154
111 Baseline,BASELINE,111,45.347752,-75.761936
111 Carleton,CARLETON U,111,45.384981,-75.6965
111 Carleton,CARLETON U,111,45.384981,-75.6965
111 Carleton,CARLETON U,111,45.384981,-75.6965
111 Carleton,CARLETON U,111,45.384981,-75.6965
111 Carleton,CARLETON U,111,45.384981,-75.6965
111 Carleton U,CARLETON U,111,45.384981,-75.6965
111 Carleton U,CARLETON U,111,45.384981,-75.6965
111 Carleton U,CARLETON U,111,45.384981,-75.6965
111 Carleton U,CARLETON U,111,45.384981,-75.6965
114 Rideau,CARLING/HOLLAND,114,45.389546,-75.72528
12 Blair,BLAIR,12,45.431472,-75.608154
12 Blair,BLAIR,12,45.431472,-75.608154
12 Blair,BLAIR,12,45.431319,-75.608764
12 Blair,BLAIR,12,45.431472,-75.608154
12 Parliament,PARLIAMENT,12,45.421492,-75.698938
12 Parliament,PARLIAMENT,12,45.421492,-75.698938
12 Parliament,PARLIAMENT,12,45.421492,-75.698938
12 Parliament,MONTREAL/BLAIR,12,45.431472,-75.608154
12 Parliament,PARLIAMENT,12,45.421492,-75.698938
12 Parliament,PARLIAMENT,12,45.421492,-75.698938
138 Innes,303 VANTAGE,138,45.458849,-75.490397
14 St. Laurent,ST-LAURENT,14,45.420466,-75.638607
14 St. Laurent,ST-LAURENT,14,45.420466,-75.638607
14 St. Laurent,ST-LAURENT,14,45.420466,-75.638607
14 St-Laurent,ST-LAURENT,14,45.420526,-75.637881
14 Tunney's Station,TUNNEY'S,14,45.40388,-75.736653
14 Tunney's Station,TUNNEY'S,14,45.40388,-75.736653
14 Tunney's Station,TUNNEY'S,14,45.40388,-75.736653
14 Tunney's Station,TUNNEY'S,14,45.40388,-75.736653
15 Blair,BLAIR,15,45.431472,-75.608154
15 Gatineau,LAURIER/ELIZABETH-BRUYÃˆRE,15,45.430477,-75.709884
15 Gatineau,LAURIER / Ã‰LISABETH-BRUYÃˆRE,15,45.430477,-75.709884
16 Main,WALLER/NICHOLAS,16,45.424534,-75.687169
168 Bridlewood,FERNBANK / TERRY FOX,168,45.274708,-75.868692
170 Barrhaven Centre,BARRHAVEN,170,45.26687,-75.741613
170 Fallowfield,FALLOWFIELD,170,45.299715,-75.734983
170 Fallowfield,FALLOWFIELD,170,45.299715,-75.734983
179 Fallowfield,FALLOWFIELD,179,45.299715,-75.734983
179 Fallowfield,FALLOWFIELD,179,45.299715,-75.734983
179 Fallowifeld,FALLOWFIELD,179,45.299715,-75.734983
18 Parliament,PARLIAMENT,18,45.421361,-75.698927
18 Parliament,PARLIAMENT,18,45.421361,-75.698927
18 Parliament,PARLIAMENT,18,45.421361,-75.698927
18 St. Laurent,ST-LAURENT,18,45.420526,-75.637881
18 St. Laurent,ST-LAURENT,18,45.420526,-75.637881
18 St-Laurent,ST-LAURENT,18,45.420526,-75.637881
18 St-Laurent,ST-LAURENT,18,45.420526,-75.637881
19 Parliament,PARLIAMENT,19,45.421372,-75.698937
19 Parliament,PARLIAMENT,19,45.421372,-75.698937
19 St. Laurent,MARIER,19,45.436792,-75.661967
19 St-Laurent,MONTREAL/MARIER,19,45.436792,-75.661967
19 St-Laurent,MARIER / DESCHAMPS,19,45.436792,-75.661967
19 St-Laurent,ST-LAURENT,19,45.420526,-75.637881
19 St-Laurent,ST-LAURENT,19,45.420526,-75.637881
19 St-Laurent,ST-LAURENT,19,45.420526,-75.637881
19 St-Laurent,ST-LAURENT,19,45.420526,-75.637881
20 St-Laurent,ST-LAURENT,20,45.420526,-75.637881
225 Blair,BLAIR,225,45.431472,-75.608154
231 Blair,BLAIR,231,45.431472,-75.608154
231 Blair,BLAIR,231,45.431472,-75.608154
231 Blair,BLAIR,231,45.431472,-75.608154
231 Blair,BLAIR,231,45.431472,-75.608154
234 Tenth Line,HARVEST VALLEY / LAKERIDGE,234,45.445374,-75.476836
235 Blair,BLAIR,235,45.431472,-75.608154
235 Gardenway,GARDENWAY / 2ND PARADISE,235,45.470544,-75.470305
236 Blair,BLAIR,236,45.431472,-75.608154
236 Blair,BLAIR,236,45.431472,-75.608154
236 Blair,BLAIR,236,45.431472,-75.608154
237 Blair,BLAIR,237,45.431472,-75.608154
24 Beacon Hill,LA VÃ‰RENDRYE/OGILVIE,24,45.452996,-75.59785
24 St Laurent,ST LAURENT,24,45.420762,-75.637503
25 Blair,BLAIR,25,45.430846,-75.609093
25 Blair,BLAIR,25,45.430846,-75.609093
25 Carson's,CARSON'S/MONTRÃ‰AL,25,45.44603,-75.631378
25 La CitÃ©,BLAIR,25,45.430846,-75.609093
25 La CitÃ©,CARSON/MONTREAL,25,45.44603,-75.631378
25 La CitÃ©,BLAIR,25,45.430846,-75.609093
25 La CitÃ©,CARSONS / MONTREAL,25,45.44603,-75.631378
25 Millenium,MILLENNIUM,25,45.465332,-75.448353
25 Millenium,MILLENNIUM,25,45.465726,-75.451031
25 Millennium,MILLENNIUM,25,45.465332,-75.448353
25 Millennium,MILLENNIUM,25,45.465332,-75.448353
251 Tunney's Pasture,TUNNEY'S,251,45.403498,-75.73618
251 Tunney's Pasture,TUNNEY'S,251,45.403498,-75.73618
256 Bridlewood,AKERSON/BARRICK HILL,256,45.282794,-75.87285
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE / FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Tunney's Pasture,TUNNEY'S PASTURE,257,45.403498,-75.73618
257 Tunney's Pasture,TUNNEY'S,257,45.403498,-75.73618
257 Tunney's Pasture,PINEHILL/STONEHAVEN,257,45.287999,-75.848166
257 Tunney's Pasture,TUNNEY'S PASTURE,257,45.403498,-75.73618
258 Tunney's Pasture,TUNNEY'S,258,45.403498,-75.73618
261 Tunney's Pasture,TUNNEY'S PASTURE,261,45.403498,-75.73618
261 Tunney's Pasture,TUNNEY'S PASTURE,261,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S,262,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S PASTURE,262,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S PASTURE,262,45.403498,-75.73618
262 West Ridge,FERNBANK LIARD,262,45.251946,-75.90531
266 Maxwell Bridge,MAXWELL BRIDGE/WINDANCE,266,45.35944,-75.934385
266 Maxwell BridgeThe trip is cancelled from Tunneyâ€™s Pasture station 15,MAXWELL BRIDGE / WINDANCE,266,45.35944,-75.934385
266 Tunney's Pasture,TUNNEY'S,266,45.403498,-75.73618
266 Tunney's Station,TUNNEY'S,266,45.403498,-75.73618
267 Glen Cairn,ROTHESAY/ EAGLESON,267,45.293376,-75.871601
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
270 Tunney's Pasture,TUNNEY'S PASTURE,270,45.403498,-75.73618
271 Stoneway,STONEWAY / WITTINGHAM,271,45.288301,-75.723727
271 Stoneway,WOODROFFE/STONEWAY,271,45.288301,-75.723727
271 Stoneway,WOODROFFE/STONEWAY,271,45.288301,-75.723727
272 Cobble Hill,COBBLE HILL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,TO COBBLE HILL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HULL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HILL/ FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HILL/FALLOWFIELD,272,45.275699,-75.785497
272 Tunney's Pasture,TUNNEY'S,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S,272,45.403498,-75.73618
