id,route_id,direction_id,stop_id,order
376,9,0,AA010,20
395,9,1,AA020,9
396,9,1,AA030,10
397,9,1,AA035,11
375,9,0,AA040,19
398,9,1,AA050,12
374,9,0,AA060,18
399,9,1,AA070,13
373,9,0,AA080,17
400,9,1,AA090,14
372,9,0,AA100,16
371,9,0,AA110,15
401,9,1,AA120,15
402,9,1,AA130,16
370,9,0,AA140,14
369,9,0,AA150,13
403,9,1,AA160,17
404,9,1,AA170,18
368,9,0,AA180,12
97,6,0,AA210,7
245,7,0,AA210,33
1056,17,0,AA210,22
1197,19,0,AA210,19
320,7,1,AA221,37
1094,17,1,AA221,20
1233,19,1,AA221,19
321,7,1,AA231,38
1095,17,1,AA231,21
1234,19,1,AA231,20
1297,20,1,AA231,3
96,6,0,AA240,6
244,7,0,AA240,32
1055,17,0,AA240,21
1196,19,0,AA240,18
1293,20,0,AA240,42
322,7,1,AA251,39
1096,17,1,AA251,22
95,6,0,AA260,5
243,7,0,AA260,31
1054,17,0,AA260,20
323,7,1,AA270,40
1097,17,1,AA270,23
242,7,0,AA280,30
1053,17,0,AA280,19
241,7,0,AA300,29
1052,17,0,AA300,18
324,7,1,AA310,41
1098,17,1,AA310,24
240,7,0,AA320,28
1051,17,0,AA320,17
239,7,0,AA325,27
1050,17,0,AA325,16
325,7,1,AA330,42
1099,17,1,AA330,25
326,7,1,AA335,43
1100,17,1,AA335,26
208,6,1,AA340,57
209,6,1,AA350,58
210,6,1,AA360,59
211,6,1,AA370,60
91,6,0,AA380,1
212,6,1,AA380,61
92,6,0,AA390,2
93,6,0,AA400,3
94,6,0,AA410,4
1294,20,0,AB050,43
1295,20,1,AB050,1
1296,20,1,AB055,2
1235,19,1,AB060,21
1298,20,1,AB060,4
1195,19,0,AB065,17
1292,20,0,AB065,41
1194,19,0,AB070,16
1291,20,0,AB070,40
1236,19,1,AB075,22
1299,20,1,AB075,5
1193,19,0,AB080,15
1237,19,1,AB085,23
1290,20,0,AB100,39
1306,20,1,AB100,12
1284,20,0,AB110,33
1300,20,1,AB110,6
1289,20,0,AB120,38
1305,20,1,AB120,11
1285,20,0,AB130,34
1301,20,1,AB130,7
1286,20,0,AB185,35
1302,20,1,AB185,8
1288,20,0,AB195,37
1304,20,1,AB195,10
1287,20,0,AB200,36
1303,20,1,AB200,9
1310,20,1,AB290,16
1279,20,0,AB300,28
1280,20,0,AB310,29
1309,20,1,AB320,15
1281,20,0,AB330,30
1308,20,1,AB340,14
1307,20,1,AB350,13
1282,20,0,AB360,31
1283,20,0,AB370,32
1238,19,1,AB380,24
1192,19,0,AB385,14
1239,19,1,AB390,25
1191,19,0,AB395,13
367,9,0,AB450,11
11759,609,0,AB450,14
405,9,1,AB455,19
11762,609,1,AB455,2
366,9,0,AB456,10
11758,609,0,AB456,13
406,9,1,AB458,20
11763,609,1,AB458,3
365,9,0,AB460,9
11757,609,0,AB460,12
407,9,1,AB470,21
11764,609,1,AB470,4
364,9,0,AB480,8
11756,609,0,AB480,11
713,12,1,AB490,42
921,15,1,AB490,30
632,12,0,AB500,12
862,15,0,AB500,22
712,12,1,AB510,41
920,15,1,AB510,29
633,12,0,AB520,13
863,15,0,AB520,23
711,12,1,AB530,40
919,15,1,AB530,28
634,12,0,AB540,14
864,15,0,AB540,24
710,12,1,AB550,39
918,15,1,AB550,27
635,12,0,AB560,15
865,15,0,AB560,25
709,12,1,AB570,38
917,15,1,AB570,26
636,12,0,AB580,16
866,15,0,AB580,26
637,12,0,AB600,17
867,15,0,AB600,27
708,12,1,AB611,37
916,15,1,AB611,25
638,12,0,AB620,18
868,15,0,AB620,28
707,12,1,AB630,36
915,15,1,AB630,24
639,12,0,AB640,19
869,15,0,AB640,29
1311,20,1,AB640,17
706,12,1,AB650,35
914,15,1,AB650,23
1278,20,0,AB650,27
640,12,0,AB660,20
870,15,0,AB660,30
1312,20,1,AB660,18
705,12,1,AB670,34
913,15,1,AB670,22
1277,20,0,AB670,26
641,12,0,AB680,21
871,15,0,AB680,31
1313,20,1,AB680,19
704,12,1,AB690,33
912,15,1,AB690,21
1276,20,0,AB690,25
642,12,0,AB700,22
872,15,0,AB700,32
800,14,1,AC010,14
772,14,0,AC020,39
1187,19,0,AC020,9
773,14,0,AC030,40
1188,19,0,AC030,10
799,14,1,AC035,13
774,14,0,AC050,41
798,14,1,AC060,12
797,14,1,AC080,11
775,14,0,AC090,42
796,14,1,AC100,10
776,14,0,AC110,43
795,14,1,AC120,9
777,14,0,AC130,44
794,14,1,AC140,8
778,14,0,AC150,45
793,14,1,AC180,7
779,14,0,AC190,46
1189,19,0,AC200,11
1241,19,1,AC205,27
1190,19,0,AC210,12
1240,19,1,AC215,26
414,9,1,AD010,28
11771,609,1,AD010,11
359,9,0,AD020,3
11751,609,0,AD020,6
413,9,1,AD030,27
11770,609,1,AD030,10
360,9,0,AD040,4
11752,609,0,AD040,7
412,9,1,AD050,26
11769,609,1,AD050,9
361,9,0,AD060,5
11753,609,0,AD060,8
411,9,1,AD070,25
11768,609,1,AD070,8
362,9,0,AD080,6
1186,19,0,AD080,8
11754,609,0,AD080,9
410,9,1,AD085,24
1242,19,1,AD085,28
11767,609,1,AD085,7
363,9,0,AD090,7
11755,609,0,AD090,10
409,9,1,AD100,23
11766,609,1,AD100,6
408,9,1,AD110,22
11765,609,1,AD110,5
770,14,0,AD135,37
801,14,1,AD140,15
771,14,0,AD145,38
768,14,0,AD200,35
1125,18,0,AD200,12
12192,624,0,AD200,9
803,14,1,AD210,17
1166,18,1,AD210,21
12263,624,1,AD210,34
769,14,0,AD220,36
1126,18,0,AD220,13
12193,624,0,AD220,10
802,14,1,AD230,16
1165,18,1,AD230,20
12262,624,1,AD230,33
1127,18,0,AD260,14
12194,624,0,AD260,11
1164,18,1,AD265,19
12261,624,1,AD265,32
1163,18,1,AD270,18
12260,624,1,AD270,31
1128,18,0,AD280,15
12195,624,0,AD280,12
1129,18,0,AD300,16
12196,624,0,AD300,13
1162,18,1,AD310,17
12259,624,1,AD310,30
1161,18,1,AD320,16
12258,624,1,AD320,29
1130,18,0,AD330,17
12197,624,0,AD330,14
1131,18,0,AD340,18
12198,624,0,AD340,15
1160,18,1,AD350,15
12257,624,1,AD350,28
1159,18,1,AD360,14
12256,624,1,AD360,27
1132,18,0,AD370,19
12199,624,0,AD370,16
1133,18,0,AD380,20
12200,624,0,AD380,17
1158,18,1,AD390,13
12255,624,1,AD390,26
1134,18,0,AD391,21
1157,18,1,AD392,12
1135,18,0,AD393,22
1156,18,1,AD394,11
1248,19,1,AD395,34
12079,620,0,AD395,5
12254,624,1,AD400,25
12201,624,0,AD410,18
12253,624,1,AD420,24
12202,624,0,AD430,19
1243,19,1,AD440,29
12203,624,0,AD440,20
1185,19,0,AD450,7
12252,624,1,AD450,23
1244,19,1,AD460,30
12204,624,0,AD460,21
1184,19,0,AD470,6
12251,624,1,AD470,22
1183,19,0,AD508,5
12075,620,0,AD508,1
12205,624,0,AD645,22
12250,624,1,AD646,21
12206,624,0,AD655,23
12249,624,1,AD660,20
1136,18,0,AD670,23
12207,624,0,AD670,24
1155,18,1,AD680,10
12248,624,1,AD680,19
1137,18,0,AD690,24
12208,624,0,AD690,25
1154,18,1,AD700,9
12247,624,1,AD700,18
1138,18,0,AD720,25
12209,624,0,AD720,26
1153,18,1,AD730,8
12246,624,1,AD730,17
12210,624,0,AD740,27
12245,624,1,AD750,16
1139,18,0,AD780,26
1152,18,1,AD790,7
1247,19,1,AD800,33
12078,620,0,AD800,4
1246,19,1,AD805,32
12077,620,0,AD805,3
1245,19,1,AD810,31
12076,620,0,AD810,2
2530,39,0,AE010,62
6612,104,1,AE015,1
2563,39,1,AE020,9
1151,18,1,AE040,6
2521,39,0,AE040,53
2564,39,1,AE050,10
1140,18,0,AE060,27
2574,39,1,AE060,20
1150,18,1,AE080,5
2520,39,0,AE080,52
1141,18,0,AE090,28
2575,39,1,AE090,21
1149,18,1,AE120,4
2519,39,0,AE120,51
1142,18,0,AE130,29
2576,39,1,AE130,22
1148,18,1,AE140,3
2518,39,0,AE140,50
1143,18,0,AE150,30
2577,39,1,AE150,23
2791,42,0,AE220,6
2529,39,0,AE235,61
2565,39,1,AE241,11
2849,42,1,AE241,30
2848,42,1,AE260,29
2524,39,0,AE320,56
2842,42,1,AE320,23
2525,39,0,AE325,57
2843,42,1,AE325,24
2570,39,1,AE330,16
2727,40,1,AE330,10
2797,42,0,AE330,12
2569,39,1,AE335,15
2726,40,1,AE335,9
2796,42,0,AE335,11
2568,39,1,AE340,14
2725,40,1,AE340,8
2795,42,0,AE340,10
2526,39,0,AE351,58
2844,42,1,AE351,25
2527,39,0,AE355,59
2845,42,1,AE355,26
2567,39,1,AE360,13
2724,40,1,AE360,7
2794,42,0,AE360,9
2528,39,0,AE370,60
2566,39,1,AE375,12
2723,40,1,AE375,6
3023,46,1,AE450,4
3015,46,0,AE480,49
3014,46,0,AE495,48
3013,46,0,AE500,47
3024,46,1,AE510,5
3012,46,0,AE520,46
3025,46,1,AE530,6
3011,46,0,AE540,45
3026,46,1,AE550,7
3010,46,0,AE560,44
3027,46,1,AE570,8
3009,46,0,AE580,43
3028,46,1,AE590,9
3008,46,0,AE600,42
3029,46,1,AE610,10
3007,46,0,AE620,41
3006,46,0,AE625,40
3030,46,1,AE630,11
3031,46,1,AE635,12
3032,46,1,AE640,13
3005,46,0,AE650,39
3033,46,1,AE660,14
3004,46,0,AE670,38
3003,46,0,AE680,37
3034,46,1,AE690,15
2790,42,0,AE700,5
2850,42,1,AE705,31
2789,42,0,AE710,4
2851,42,1,AE715,32
2788,42,0,AE720,3
2856,44,0,AE721,3
3022,46,1,AE721,3
2852,42,1,AE726,33
2935,44,1,AE726,42
3018,46,0,AE726,52
2847,42,1,AE800,28
2721,40,1,AE810,4
2792,42,0,AE810,7
2846,42,1,AE815,27
2722,40,1,AE820,5
2793,42,0,AE820,8
4,1,0,AE990,4
23,1,1,AE995,10
415,9,1,AF075,29
6412,97,0,AF075,10
11772,609,1,AF075,12
358,9,0,AF080,2
2787,42,0,AF080,2
2855,44,0,AF080,2
2962,45,1,AF080,13
3021,46,1,AF080,2
6448,97,1,AF080,15
11750,609,0,AF080,5
2934,44,1,AF100,41
3017,46,0,AF100,51
2933,44,1,AF105,40
3016,46,0,AF105,50
2857,44,0,AF110,4
2932,44,1,AF120,39
2858,44,0,AF130,5
2931,44,1,AF140,38
2859,44,0,AF150,6
2930,44,1,AF160,37
2860,44,0,AF170,7
2861,44,0,AF180,8
2929,44,1,AF190,36
2928,44,1,AF210,35
2862,44,0,AF220,9
2863,44,0,AF230,10
3618,55,0,AF240,41
3647,55,1,AF270,15
13058,645,0,AF270,7
3617,55,0,AF280,40
11775,609,1,AF280,15
2948,45,0,AF300,12
2959,45,1,AF305,10
2946,45,0,AF910,10
2961,45,1,AF910,12
6413,97,0,AF910,11
